tweet_id,favorites,retweets,timestamp
834458053273591808,10512,1899,Wed Feb 22 17:41:18 +0000 2017
834209720923721728,22594,5476,Wed Feb 22 01:14:30 +0000 2017
834167344700198914,17194,4130,Tue Feb 21 22:26:07 +0000 2017
834089966724603904,10971,2427,Tue Feb 21 17:18:39 +0000 2017
834086379323871233,14296,2512,Tue Feb 21 17:04:24 +0000 2017
833863086058651648,14661,2729,Tue Feb 21 02:17:06 +0000 2017
833826103416520705,16728,3904,Mon Feb 20 23:50:09 +0000 2017
833732339549220864,0,251,Mon Feb 20 17:37:34 +0000 2017
833722901757046785,22585,3636,Mon Feb 20 17:00:04 +0000 2017
833479644947025920,16258,2357,Mon Feb 20 00:53:27 +0000 2017
833124694597443584,22133,5513,Sun Feb 19 01:23:00 +0000 2017
832998151111966721,14549,2522,Sat Feb 18 17:00:10 +0000 2017
832769181346996225,0,43,Sat Feb 18 01:50:19 +0000 2017
832757312314028032,18423,4127,Sat Feb 18 01:03:09 +0000 2017
832682457690300417,13017,3368,Fri Feb 17 20:05:43 +0000 2017
832645525019123713,3195,594,Fri Feb 17 17:38:57 +0000 2017
832636094638288896,17379,3220,Fri Feb 17 17:01:29 +0000 2017
832397543355072512,13126,2548,Fri Feb 17 01:13:34 +0000 2017
832369877331693569,18792,3652,Thu Feb 16 23:23:38 +0000 2017
832273440279240704,12385,2673,Thu Feb 16 17:00:25 +0000 2017
832215909146226688,0,7069,Thu Feb 16 13:11:49 +0000 2017
832215726631055365,0,10723,Thu Feb 16 13:11:05 +0000 2017
832088576586297345,72,3,Thu Feb 16 04:45:50 +0000 2017
832040443403784192,0,11131,Thu Feb 16 01:34:34 +0000 2017
832032802820481025,13887,4746,Thu Feb 16 01:04:13 +0000 2017
831939777352105988,26404,7031,Wed Feb 15 18:54:34 +0000 2017
831926988323639298,369,39,Wed Feb 15 18:03:45 +0000 2017
831911600680497154,30380,7458,Wed Feb 15 17:02:36 +0000 2017
831670449226514432,11469,2059,Wed Feb 15 01:04:21 +0000 2017
831650051525054464,7908,2243,Tue Feb 14 23:43:18 +0000 2017
831552930092285952,9872,2632,Tue Feb 14 17:17:22 +0000 2017
831322785565769729,10042,1744,Tue Feb 14 02:02:51 +0000 2017
831315979191906304,7117,1264,Tue Feb 14 01:35:49 +0000 2017
831309418084069378,12819,2786,Tue Feb 14 01:09:44 +0000 2017
831262627380748289,13066,2350,Mon Feb 13 22:03:49 +0000 2017
830956169170665475,8735,1735,Mon Feb 13 01:46:03 +0000 2017
830583320585068544,73397,19297,Sun Feb 12 01:04:29 +0000 2017
830173239259324417,0,6554,Fri Feb 10 21:54:58 +0000 2017
830097400375152640,10804,3455,Fri Feb 10 16:53:37 +0000 2017
829878982036299777,0,5757,Fri Feb 10 02:25:42 +0000 2017
829861396166877184,13441,2243,Fri Feb 10 01:15:49 +0000 2017
829501995190984704,34913,12224,Thu Feb 09 01:27:41 +0000 2017
829449946868879360,11519,2329,Wed Feb 08 22:00:52 +0000 2017
829374341691346946,38074,10706,Wed Feb 08 17:00:26 +0000 2017
829141528400556032,26952,8530,Wed Feb 08 01:35:19 +0000 2017
829011960981237760,58302,18627,Tue Feb 07 17:00:28 +0000 2017
828801551087042563,0,3901,Tue Feb 07 03:04:22 +0000 2017
828770345708580865,28085,6746,Tue Feb 07 01:00:22 +0000 2017
828708714936930305,40241,12882,Mon Feb 06 20:55:28 +0000 2017
828650029636317184,10467,1544,Mon Feb 06 17:02:17 +0000 2017
828409743546925057,6898,1305,Mon Feb 06 01:07:28 +0000 2017
828408677031882754,8398,1477,Mon Feb 06 01:03:14 +0000 2017
828381636999917570,13864,2554,Sun Feb 05 23:15:47 +0000 2017
828376505180889089,8112,1216,Sun Feb 05 22:55:23 +0000 2017
828372645993398273,13756,3344,Sun Feb 05 22:40:03 +0000 2017
828361771580813312,2408,195,Sun Feb 05 21:56:51 +0000 2017
828046555563323392,12923,3260,Sun Feb 05 01:04:17 +0000 2017
828011680017821696,11411,2451,Sat Feb 04 22:45:42 +0000 2017
827933404142436356,22180,5987,Sat Feb 04 17:34:40 +0000 2017
827653905312006145,16983,3433,Fri Feb 03 23:04:02 +0000 2017
827600520311402496,8143,1082,Fri Feb 03 19:31:54 +0000 2017
827324948884643840,17523,3510,Fri Feb 03 01:16:53 +0000 2017
827228250799742977,0,13517,Thu Feb 02 18:52:38 +0000 2017
827199976799354881,11659,2579,Thu Feb 02 17:00:17 +0000 2017
826958653328592898,23767,5757,Thu Feb 02 01:01:21 +0000 2017
826848821049180160,40325,11878,Wed Feb 01 17:44:55 +0000 2017
826615380357632002,0,4521,Wed Feb 01 02:17:19 +0000 2017
826598799820865537,5637,292,Wed Feb 01 01:11:25 +0000 2017
826598365270007810,11117,2709,Wed Feb 01 01:09:42 +0000 2017
826476773533745153,20275,4821,Tue Jan 31 17:06:32 +0000 2017
826240494070030336,14614,2965,Tue Jan 31 01:27:39 +0000 2017
826204788643753985,5361,1075,Mon Jan 30 23:05:46 +0000 2017
826115272272650244,17299,3599,Mon Jan 30 17:10:04 +0000 2017
825876512159186944,11525,2146,Mon Jan 30 01:21:19 +0000 2017
825829644528148480,14025,2848,Sun Jan 29 22:15:05 +0000 2017
825535076884762624,56413,19669,Sun Jan 29 02:44:34 +0000 2017
825147591692263424,20181,5244,Sat Jan 28 01:04:51 +0000 2017
825120256414846976,0,1483,Fri Jan 27 23:16:13 +0000 2017
825026590719483904,7020,1483,Fri Jan 27 17:04:02 +0000 2017
824796380199809024,0,6288,Fri Jan 27 01:49:15 +0000 2017
824775126675836928,16508,4069,Fri Jan 27 00:24:48 +0000 2017
